"feature_id","feature","testcase","checker","coverage","priority","closure","result"
"WB-FP-01","DA/RB completion仲裁","tc_wb_completion_arb","CHK_WB_FP01_CMPLT_ARB","COV_WB_FP01_CMPLT","P0","固定优先级和持续请求均不会丢失completion","BLOCKED_NO_VCS"
"WB-FP-02","DA/WMB/VMB/RB data仲裁","tc_wb_data_arb","CHK_WB_FP02_DATA_ARB","COV_WB_FP02_DATA","P0","四源互异数据、持续竞争和轮换空闲lane不会丢失","BLOCKED_NO_VCS"
"WB-FP-03","req DP gate合同","tc_wb_req_contract","CHK_WB_FP03_REQ_DP_GATE","COV_WB_FP03_REQ","P0","req-only、DP-only、gate-only及全部有效四种组合均覆盖","BLOCKED_NO_VCS"
"WB-FP-04","scalar PREG格式化","tc_wb_scalar","CHK_WB_FP04_SCALAR","COV_WB_FP04_SCALAR","P0","byte/half/word/dword和正负符号边界逐bit检查","BLOCKED_NO_VCS"
"WB-FP-05","vector VR0/VR1/FR格式化","tc_wb_vector","CHK_WB_FP05_VECTOR","COV_WB_FP05_VECTOR","P0","vmew、split、FR/VR选择和互异数据花纹全部覆盖","BLOCKED_NO_VCS"
"WB-FP-06","RTU completion与exception","tc_wb_rtu","CHK_WB_FP06_RTU","COV_WB_FP06_RTU","P0","completion每个owner一次且异常/正常元数据互斥","BLOCKED_NO_VCS"
"WB-FP-07","bus error数据抑制","tc_wb_bus_error","CHK_WB_FP07_BUS_ERROR","COV_WB_FP07_BUS_ERROR","P0","错误数据零次进入架构寄存器","BLOCKED_NO_VCS"
"WB-FP-08","VMB completion与merge","tc_wb_vmb","CHK_WB_FP08_VMB","COV_WB_FP08_VMB","P0","merge/non-merge与data/completion交叉无ID串项","BLOCKED_NO_VCS"
"WB-FP-09","debug halt-info自清","tc_wb_debug","CHK_WB_FP09_DEBUG","COV_WB_FP09_DEBUG","P1","更新后自清，下一owner不会继承旧halt-info","BLOCKED_NO_VCS"
"WB-FP-10","EX4 forward winner","tc_wb_forward","CHK_WB_FP10_FORWARD","COV_WB_FP10_FORWARD","P1","loser payload变化不得影响EX4 bypass","BLOCKED_NO_VCS"
"WB-FP-11","check flush取消年轻owner","tc_wb_flush","CHK_WB_FP11_FLUSH","COV_WB_FP11_FLUSH","P0","IID wrap和full/check flush边界均覆盖","BLOCKED_NO_VCS"
"WB-FP-12","completion/data clock reset","tc_wb_clock_reset","CHK_WB_FP12_CLOCK_RESET","COV_WB_FP12_CLOCK","P1","ICG on/off/scan和reset释放首拍无幽灵写回","BLOCKED_NO_VCS"
