"coverage_type","source_object","repo_mapping","module","condition","reason","impact","alternative","property","term","source_section","remarks"
"branch","wk_lsu_amr | default分支","未在本仓库srcs中定位到xx_lsu_amr生产源","wk_lsu_amr","default分支","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.19.2","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_amr | 1）amr_clk_en-120，排除子表达式amr_cnt_met_set单独为1的条件。","未在本仓库srcs中定位到xx_lsu_amr生产源","wk_lsu_amr","1）amr_clk_en-120，排除子表达式amr_cnt_met_set单独为1的条件。","排除原因：amr_cnt_met_set成立时amr_not_idle成立的充分条件","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.19.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"fsm","wk_lsu_amr | 1）amr_state","未在本仓库srcs中定位到xx_lsu_amr生产源","wk_lsu_amr","1）amr_state","排除原因，状态机中无此状态跳转，只有复位信号有效时。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.19.4","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ctrl | 1）743-lsu_hpcp_up_vld，排除子表达式lsu_hpcp_replay_data_discard单独为1的条件","srcs/xx_lsu_ctrl.sv","wk_lsu_ctrl","1）743-lsu_hpcp_up_vld，排除子表达式lsu_hpcp_replay_data_discard单独为1的条件","排除原因：lsu_hpcp_replay_data_discard是lsu_hpcp_replay_discard_sq成立的一种情况，前者成立则后者成立。如下图","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.20.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ctrl | 2）lsu_special_clk_en，pfu_part_empty信号tie 0，无法覆盖其他子表达式单独为1的条件","srcs/xx_lsu_ctrl.sv","wk_lsu_ctrl","2）lsu_special_clk_en，pfu_part_empty信号tie 0，无法覆盖其他子表达式单独为1的条件","2）lsu_special_clk_en，pfu_part_empty信号tie 0，无法覆盖其他子表达式单独为1的条件","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.20.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"toggle","wk_lsu_ctrl | 1）wk_lsu_ctrl.sv；pfu_part_emtpy信号tie 0","srcs/xx_lsu_ctrl.sv","wk_lsu_ctrl","1）wk_lsu_ctrl.sv；pfu_part_emtpy信号tie 0","1）wk_lsu_ctrl.sv；pfu_part_emtpy信号tie 0","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.20.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"toggle","wk_lsu_bus_arb | 1）wk_lsu_bus_arb.sv – 503，排除vb_biu_aw_unique翻转；排除原因：当所替换的行非脏时，不会创建替换数据项（sdb_data），无数据项发写数据请求，数据请求指针vb_data_biu_req_ptr=0。；创建vb-data条件：；429-lsu_biu_aw_st_unique, tie 0；433-lsu_biu_aw_viwk_burst, tie 2’b01；434-lsu_biu_aw_viwk_cache, tie 4’b1111；435-lsu_biu_aw_viwk_domain, tie 2’b01；438-lsu_biu_aw_viwk_len, tie 2’b11；439-lsu_biu_aw_viwk_lock, tie 0；440-lsu_biu_aw_viwk_prot, tie 3’b011；442-lsu_biu_aw_viwk_size, tie 3’b100；447-lsu_biu_w_st_err, tie 0；455-lsu_biu_w_viwk_strb, tie 16’hffff；457-lsu_biu_w_viwk_wns, tie 1；460-lsu_biu_ar_bar, tie 2’b10；461-pfu_biu_ar_burst, tie 2’b10；462-pfu_biu_ar_cache, tie 4’b1111；463-pfu_biu_ar_domain, tie 2’b01；466-pfu_biu_ar_len, tie 2’b01；467-pfu_biu_ar_lock, tie 0；471-pfu_biu_ar_size, tie 3’b101；472-pfu_biu_ar_snoop, tie 4’b0001；491-vb_biu_aw_burst, tie 2’b01；492-vb_biu_aw_cache, tie 4’b1111；493-vb_biu_aw_domain, tie 2’b01；496-vb_biu_aw_len, tie 2’b11；497-vb_biu_aw_lock, tie 0；498-vb_biu_aw_prot, tie 3’b011；501-vb_biu_aw_size, tie 3’b100；509-vb_biu_w_strb, tie 16’hffff；512-wmb_biu_ar_bar, tie 0；513-wmb_biu_ar_burst, tie 2’b01；515-wmb_biu_ar_domain, tie 2’b01；523-wmb_biu_ar_size, tie 3’b101；437-lsu_biu_aw_viwk_id, 高4位tie 0（详见vb-1267，1240）；495-vb_biu_aw_id, 高4位tie 0（同上）；259-vb_biu_w_id，高4位tie 0（详见vb-1375, 1371）；418-lsu_biu_aw_st_burst，第0位tie 1；432-lsu_biu_aw_viwk_bar，第0位tie 0；445-lsu_biu_aw_viwk_user, 第0位tie 1；468-pfu_biu_ar_prot[2]，tie 0；481-lsu_biu_ar_len，第1位tie 0；490-vb_biu_aw_bar，第0位tie 0；504-vb_biu_aw_user, 第0位tie 1；518-wmb_biu_ar_len，第1位tie 0；519-wmb_biu_ar_lock, tie 0；525-wmb_biu_ar_user, 第0、2位tie0；528-wmb_biu_aw_burst，第0位tie 1；409-lsu_biu_ar_prot[2]，信号tie 0；425-lsu_biu_aw_st_prot，第2位tie 0；428-lsu_biu_aw_st_snoop，第2位tie0；473-pfu_biu_ar_user，第4、5、0位tie 0；483-rb_biu_ar_prot[2]，tie 0；520-wmb_biu_ar_prot[2]；535-wmb_biu_aw_prot[2]；539-wmb_biu_aw_snoop[3]；488-rb_biu_ar_user[2]；414-lsu_biu-ar_user，第4、5位；517-wmb_biu_ar_id[4]；514-wmb_biu_ar_cache[1]；524-wmb_biu_ar_snoop[3]；wk_lsu_icc-227, icc_dcache_arb_st_dirty_din，tie 0","srcs/xx_lsu_bus_arb.sv","wk_lsu_bus_arb","1）wk_lsu_bus_arb.sv – 503，排除vb_biu_aw_unique翻转；排除原因：当所替换的行非脏时，不会创建替换数据项（sdb_data），无数据项发写数据请求，数据请求指针vb_data_biu_req_ptr=0。；创建vb-data条件：；429-lsu_biu_aw_st_unique, tie 0；433-lsu_biu_aw_viwk_burst, tie 2’b01；434-lsu_biu_aw_viwk_cache, tie 4’b1111；435-lsu_biu_aw_viwk_domain, tie 2’b01；438-lsu_biu_aw_viwk_len, tie 2’b11；439-lsu_biu_aw_viwk_lock, tie 0；440-lsu_biu_aw_viwk_prot, tie 3’b011；442-lsu_biu_aw_viwk_size, tie 3’b100；447-lsu_biu_w_st_err, tie 0；455-lsu_biu_w_viwk_strb, tie 16’hffff；457-lsu_biu_w_viwk_wns, tie 1；460-lsu_biu_ar_bar, tie 2’b10；461-pfu_biu_ar_burst, tie 2’b10；462-pfu_biu_ar_cache, tie 4’b1111；463-pfu_biu_ar_domain, tie 2’b01；466-pfu_biu_ar_len, tie 2’b01；467-pfu_biu_ar_lock, tie 0；471-pfu_biu_ar_size, tie 3’b101；472-pfu_biu_ar_snoop, tie 4’b0001；491-vb_biu_aw_burst, tie 2’b01；492-vb_biu_aw_cache, tie 4’b1111；493-vb_biu_aw_domain, tie 2’b01；496-vb_biu_aw_len, tie 2’b11；497-vb_biu_aw_lock, tie 0；498-vb_biu_aw_prot, tie 3’b011；501-vb_biu_aw_size, tie 3’b100；509-vb_biu_w_strb, tie 16’hffff；512-wmb_biu_ar_bar, tie 0；513-wmb_biu_ar_burst, tie 2’b01；515-wmb_biu_ar_domain, tie 2’b01；523-wmb_biu_ar_size, tie 3’b101；437-lsu_biu_aw_viwk_id, 高4位tie 0（详见vb-1267，1240）；495-vb_biu_aw_id, 高4位tie 0（同上）；259-vb_biu_w_id，高4位tie 0（详见vb-1375, 1371）；418-lsu_biu_aw_st_burst，第0位tie 1；432-lsu_biu_aw_viwk_bar，第0位tie 0；445-lsu_biu_aw_viwk_user, 第0位tie 1；468-pfu_biu_ar_prot[2]，tie 0；481-lsu_biu_ar_len，第1位tie 0；490-vb_biu_aw_bar，第0位tie 0；504-vb_biu_aw_user, 第0位tie 1；518-wmb_biu_ar_len，第1位tie 0；519-wmb_biu_ar_lock, tie 0；525-wmb_biu_ar_user, 第0、2位tie0；528-wmb_biu_aw_burst，第0位tie 1；409-lsu_biu_ar_prot[2]，信号tie 0；425-lsu_biu_aw_st_prot，第2位tie 0；428-lsu_biu_aw_st_snoop，第2位tie0；473-pfu_biu_ar_user，第4、5、0位tie 0；483-rb_biu_ar_prot[2]，tie 0；520-wmb_biu_ar_prot[2]；535-wmb_biu_aw_prot[2]；539-wmb_biu_aw_snoop[3]；488-rb_biu_ar_user[2]；414-lsu_biu-ar_user，第4、5位；517-wmb_biu_ar_id[4]；514-wmb_biu_ar_cache[1]；524-wmb_biu_ar_snoop[3]；wk_lsu_icc-227, icc_dcache_arb_st_dirty_din，tie 0","1）wk_lsu_bus_arb.sv – 503，排除vb_biu_aw_unique翻转；排除原因：当所替换的行非脏时，不会创建替换数据项（sdb_data），无数据项发写数据请求，数据请求指针vb_data_biu_req_ptr=0。；创建vb-data条件：；429-lsu_biu_aw_st_unique, tie 0；433-lsu_biu_aw_viwk_burst, tie 2’b01；434-lsu_biu_aw_viwk_cache, tie 4’b1111；435-lsu_biu_aw_viwk_domain, tie 2’b01；438-lsu_biu_aw_viwk_len, tie 2’b11；439-lsu_biu_aw_viwk_lock, tie 0；440-lsu_biu_aw_viwk_prot, tie 3’b011；442-lsu_biu_aw_viwk_size, tie 3’b100；447-lsu_biu_w_st_err, tie 0；455-lsu_biu_w_viwk_strb, tie 16’hffff；457-lsu_biu_w_viwk_wns, tie 1；460-lsu_biu_ar_bar, tie 2’b10；461-pfu_biu_ar_burst, tie 2’b10；462-pfu_biu_ar_cache, tie 4’b1111；463-pfu_biu_ar_domain, tie 2’b01；466-pfu_biu_ar_len, tie 2’b01；467-pfu_biu_ar_lock, tie 0；471-pfu_biu_ar_size, tie 3’b101；472-pfu_biu_ar_snoop, tie 4’b0001；491-vb_biu_aw_burst, tie 2’b01；492-vb_biu_aw_cache, tie 4’b1111；493-vb_biu_aw_domain, tie 2’b01；496-vb_biu_aw_len, tie 2’b11；497-vb_biu_aw_lock, tie 0；498-vb_biu_aw_prot, tie 3’b011；501-vb_biu_aw_size, tie 3’b100；509-vb_biu_w_strb, tie 16’hffff；512-wmb_biu_ar_bar, tie 0；513-wmb_biu_ar_burst, tie 2’b01；515-wmb_biu_ar_domain, tie 2’b01；523-wmb_biu_ar_size, tie 3’b101；437-lsu_biu_aw_viwk_id, 高4位tie 0（详见vb-1267，1240）；495-vb_biu_aw_id, 高4位tie 0（同上）；259-vb_biu_w_id，高4位tie 0（详见vb-1375, 1371）；418-lsu_biu_aw_st_burst，第0位tie 1；432-lsu_biu_aw_viwk_bar，第0位tie 0；445-lsu_biu_aw_viwk_user, 第0位tie 1；468-pfu_biu_ar_prot[2]，tie 0；481-lsu_biu_ar_len，第1位tie 0；490-vb_biu_aw_bar，第0位tie 0；504-vb_biu_aw_user, 第0位tie 1；518-wmb_biu_ar_len，第1位tie 0；519-wmb_biu_ar_lock, tie 0；525-wmb_biu_ar_user, 第0、2位tie0；528-wmb_biu_aw_burst，第0位tie 1；409-lsu_biu_ar_prot[2]，信号tie 0；425-lsu_biu_aw_st_prot，第2位tie 0；428-lsu_biu_aw_st_snoop，第2位tie0；473-pfu_biu_ar_user，第4、5、0位tie 0；483-rb_biu_ar_prot[2]，tie 0；520-wmb_biu_ar_prot[2]；535-wmb_biu_aw_prot[2]；539-wmb_biu_aw_snoop[3]；488-rb_biu_ar_user[2]；414-lsu_biu-ar_user，第4、5位；517-wmb_biu_ar_id[4]；514-wmb_biu_ar_cache[1]；524-wmb_biu_ar_snoop[3]；wk_lsu_icc-227, icc_dcache_arb_st_dirty_din，tie 0","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.1.4","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_icc | 1）wk_lsu_icc.sv – 464，排除子表达式!cp0_dtcm_read_req单独为0的条件","未在本仓库srcs中定位到xx_lsu_icc生产源","wk_lsu_icc","1）wk_lsu_icc.sv – 464，排除子表达式!cp0_dtcm_read_req单独为0的条件","排除原因：tcm部件未实现，相关信号tie 0","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.17.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"fsm","wk_lsu_icc | 1）wk_lsu_icc.sv-397，排除状态机跳转到idle的状态。","未在本仓库srcs中定位到xx_lsu_icc生产源","wk_lsu_icc","1）wk_lsu_icc.sv-397，排除状态机跳转到idle的状态。","排除原因：所述路径没有到IDLE的路径，仅在复位时置IDLE。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.17.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"branch","wk_lsu_ld_ag | case语句的default分支","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","case语句的default分支","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.2","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
