"feature_id","feature","testcase","checker","coverage","priority","closure","result"
"LRQ-FP-01","三bank容量与no-space预检","tc_lrq_capacity","CHK_LRQ_FP01_CAPACITY","COV_LRQ_FP01_CAPACITY","P0","empty、one-left、full和同拍pop以{bank,entry,IID,generation}计数","BLOCKED_NO_VCS"
"LRQ-FP-02","create资格与flush取消","tc_lrq_create_accept","CHK_LRQ_FP02_CREATE_ACCEPT","COV_LRQ_FP02_CREATE","P0","create_vld=1不等于成功，失败原因必须可归因于flush或no-space","BLOCKED_NO_VCS"
"LRQ-FP-03","fresh payload保存","tc_lrq_payload","CHK_LRQ_FP03_PAYLOAD","COV_LRQ_FP03_PAYLOAD","P0","所有字段使用互异花纹，等待期间owner payload稳定","BLOCKED_NO_VCS"
"LRQ-FP-04","freeze原因集合","tc_lrq_freeze","CHK_LRQ_FP04_FREEZE","COV_LRQ_FP04_FREEZE","P0","每种freeze原因单独及两两组合，解除顺序不改变owner","BLOCKED_NO_VCS"
"LRQ-FP-05","wakeup owner与generation","tc_lrq_wakeup","CHK_LRQ_FP05_WAKEUP_OWNER","COV_LRQ_FP05_WAKEUP","P0","live、killed、已释放和立即复用四类bit均覆盖","BLOCKED_NO_VCS"
"LRQ-FP-06","oldest ready issue","tc_lrq_oldest_issue","CHK_LRQ_FP06_OLDEST","COV_LRQ_FP06_OLDEST","P0","普通排序、IID wrap、equal边界和三bank同拍ready均检查one-hot grant","BLOCKED_NO_VCS"
"LRQ-FP-07","replay RF mux与零重建","tc_lrq_replay","CHK_LRQ_FP07_REPLAY","COV_LRQ_FP07_REPLAY","P0","replay payload不受当前IDU互异输入污染且每个owner只issue一次","BLOCKED_NO_VCS"
"LRQ-FP-08","no-spec与barrier释放","tc_lrq_barrier","CHK_LRQ_FP08_BARRIER","COV_LRQ_FP08_BARRIER","P1","多bank年龄交叉、逐拍释放和无永久freeze均覆盖","BLOCKED_NO_VCS"
"LRQ-FP-09","DA反馈与entry复用","tc_lrq_da_feedback","CHK_LRQ_FP09_DA_FEEDBACK","COV_LRQ_FP09_DA","P0","反馈与flush、pop、create同拍时按{bank,entry,IID,generation}判定","BLOCKED_NO_VCS"
"LRQ-FP-10","full/check flush年龄清除","tc_lrq_flush","CHK_LRQ_FP10_FLUSH","COV_LRQ_FP10_FLUSH","P0","IID older/equal/newer及wrap与create/wakeup/issue边界交叉","BLOCKED_NO_VCS"
"LRQ-FP-11","entry clock reset","tc_lrq_clock_reset","CHK_LRQ_FP11_CLOCK_RESET","COV_LRQ_FP11_CLOCK","P1","valid gate与data gate一致，reset释放首拍无幽灵owner","BLOCKED_NO_VCS"
"LRQ-FP-12","LRQENTRY与LSIQENTRY参数合同","tc_lrq_parameter_contract","CHK_LRQ_FP12_PARAMETER","COV_LRQ_FP12_PARAMETER","P2","正式相等配置必须通过；故意不等宽配置要求静态assert明确失败","BLOCKED_NO_VCS"
