"feature_id","feature","testcase","checker","coverage","priority","closure","result"
"RB-FP-01","容量、保留项与create资格","tc_rb_capacity","CHK_RB_FP01_CAPACITY","COV_RB_FP01_CAPACITY","P0","scoreboard为每次分配记录entry、IID和generation，保留项不被普通create占用","BLOCKED_NO_VCS"
"RB-FP-02","三路create仲裁与payload winner","tc_rb_create_arb","CHK_RB_FP02_CREATE_ARB","COV_RB_FP02_CREATE","P0","三路payload使用互异IID和地址，winner与entry映射唯一","BLOCKED_NO_VCS"
"RB-FP-03","entry状态机与响应终态","tc_rb_entry_lifecycle","CHK_RB_FP03_LIFECYCLE","COV_RB_FP03_LIFECYCLE","P0","entry复用前generation递增，迟到响应不得命中新owner","BLOCKED_NO_VCS"
"RB-FP-04","同line merge与boundary","tc_rb_merge","CHK_RB_FP04_MERGE","COV_RB_FP04_MERGE","P0","same-line、different-line、boundary-first和boundary-second全部交叉","BLOCKED_NO_VCS"
"RB-FP-05","BIU AR请求属性与ID","tc_rb_biu_ar","CHK_RB_FP05_BIU_AR","COV_RB_FP05_BIU_AR","P0","grant前请求稳定，grant后每个entry只发一次AR","BLOCKED_NO_VCS"
"RB-FP-06","LFB create与依赖ID","tc_rb_lfb_create","CHK_RB_FP06_LFB","COV_RB_FP06_LFB","P0","LFB full/hit/grant交叉不重复创建且依赖wakeup不串entry","BLOCKED_NO_VCS"
"RB-FP-07","R response两拍与错误归属","tc_rb_r_response","CHK_RB_FP07_R_RESPONSE","COV_RB_FP07_R","P0","0/1/N拍响应、错误beat和entry立即复用均以BIU ID及generation判定","BLOCKED_NO_VCS"
"RB-FP-08","B response与atomic owner","tc_rb_b_response","CHK_RB_FP08_B_RESPONSE","COV_RB_FP08_B","P0","B response按BIU ID配对，迟到或重复B不得命中已复用entry","BLOCKED_NO_VCS"
"RB-FP-09","SO ID FIFO与pending","tc_rb_so_fifo","CHK_RB_FP09_SO_FIFO","COV_RB_FP09_SO","P1","FIFO empty/full、连续push/pop和response同拍不丢ID","BLOCKED_NO_VCS"
"RB-FP-10","WB completion与data grant","tc_rb_wb","CHK_RB_FP10_WB","COV_RB_FP10_WB","P0","completion与data独立反压，任一grant不会清除另一未完成请求","BLOCKED_NO_VCS"
"RB-FP-11","同步与异步flush","tc_rb_flush","CHK_RB_FP11_FLUSH","COV_RB_FP11_FLUSH","P0","sync flush、async flush与check flush分别验证，迟到响应不得复活已清entry","BLOCKED_NO_VCS"
"RB-FP-12","entry门控时钟与reset","tc_rb_clock_reset","CHK_RB_FP12_CLOCK_RESET","COV_RB_FP12_CLOCK","P1","所有entry gate、pointer gate和special clock边界无X或幽灵owner","BLOCKED_NO_VCS"
