"feature_id","feature","testcase","checker","coverage","priority","closure","result"
"DA-FP-01","D-cache 16 bank数据选择","tc_da_cache_data","CHK_DA_FP01_DATA_SELECT","COV_DA_FP01_DATA","P0","16 bank至四个128-bit block的选择逐bit匹配","BLOCKED_NO_VCS"
"DA-FP-02","SQ/WMB forward merge","tc_da_forward_merge","CHK_DA_FP02_FORWARD","COV_DA_FP02_FORWARD","P0","SQ-only、WMB-only、冲突和无forward均使用互异花纹","BLOCKED_NO_VCS"
"DA-FP-03","ECC检测与replay","tc_da_ecc_replay","CHK_DA_FP03_ECC","COV_DA_FP03_ECC","P0","无错、单错、双错和连续错误均有明确终态","BLOCKED_NO_VCS"
"DA-FP-04","延迟MMU access fault","tc_da_access_fault","CHK_DA_FP04_ACCESS_FAULT","COV_DA_FP04_ACCESS_FAULT","P0","0/1/N拍fault不串到下一owner","BLOCKED_NO_VCS"
"DA-FP-05","LQ entry pop","tc_da_lq_pop","CHK_DA_FP05_LQ_POP","COV_DA_FP05_LQ_POP","P0","LQ pop每个owner恰好一次，flush/restart为零次","BLOCKED_NO_VCS"
"DA-FP-06","RB create与merge","tc_da_rb_create_merge","CHK_DA_FP06_RB_OWNER","COV_DA_FP06_RB","P0","RB create/merge winner与payload owner一致","BLOCKED_NO_VCS"
"DA-FP-07","WB completion请求","tc_da_completion","CHK_DA_FP07_COMPLETION","COV_DA_FP07_COMPLETION","P0","completion与RB create、restart终态互斥","BLOCKED_NO_VCS"
"DA-FP-08","WB scalar/vector data请求","tc_da_data_request","CHK_DA_FP08_DATA_REQ","COV_DA_FP08_DATA","P0","数据请求、mask和owner元数据同拍一致","BLOCKED_NO_VCS"
"DA-FP-09","异常restart唯一终态","tc_da_terminal_state","CHK_DA_FP09_TERMINAL","COV_DA_FP09_TERMINAL","P0","所有两两交叉无双重副作用","BLOCKED_NO_VCS"
"DA-FP-10","LFB/LRQ dependency wakeup","tc_da_dependency","CHK_DA_FP10_WAKEUP","COV_DA_FP10_WAKEUP","P0","flush后零次迟到wakeup，entry复用不串owner","BLOCKED_NO_VCS"
"DA-FP-11","debug halt-info副作用","tc_da_debug","CHK_DA_FP11_DEBUG","COV_DA_FP11_DEBUG","P1","halt-info、IID和触发类型三者一致","BLOCKED_NO_VCS"
"DA-FP-12","flush与clock边界","tc_da_flush_clock","CHK_DA_FP12_FLUSH_CLOCK","COV_DA_FP12_CLOCK","P1","flush后completion/data/RB/LQ副作用均为零","BLOCKED_NO_VCS"
