"feature_id","feature","testcase","checker","coverage","priority","closure","result"
"DC-FP-01","EX1到EX2 owner锁存","tc_dc_ex1_ex2_owner","CHK_DC_FP01_OWNER","COV_DC_FP01_OWNER","P0","每个accept仅产生一个同IID的EX2 owner","BLOCKED_NO_VCS"
"DC-FP-02","borrow valid与payload gate","tc_dc_borrow_owner","CHK_DC_FP02_BORROW_GATE","COV_DC_FP02_BORROW","P0","valid-only负向注入必须触发gate合同检查","BLOCKED_NO_VCS"
"DC-FP-03","四路D-cache tag命中","tc_dc_tag_way","CHK_DC_FP03_HIT_ONEHOT","COV_DC_FP03_HIT_WAY","P0","0/1路命中合法，2至4路命中必须被检测","BLOCKED_NO_VCS"
"DC-FP-04","unit-stride way保存","tc_dc_unit_stride_way","CHK_DC_FP04_US_WAY","COV_DC_FP04_US_WAY","P0","四way后接scalar不得粘连旧way","BLOCKED_NO_VCS"
"DC-FP-05","四区byte与reg-byte mask","tc_dc_byte_masks","CHK_DC_FP05_MASK_PASS","COV_DC_FP05_MASK","P1","适用mask逐bit保真，非US不得消费高区旧值","BLOCKED_NO_VCS"
"DC-FP-06","LQ create资格与指针","tc_dc_lq_create","CHK_DC_FP06_LQ_ACCEPT","COV_DC_FP06_LQ","P0","accept对应唯一entry，full或flush时不创建","BLOCKED_NO_VCS"
"DC-FP-07","LQ full与TLB busy restart","tc_dc_restart","CHK_DC_FP07_RESTART_BLOCK","COV_DC_FP07_RESTART","P0","每个原因及两两交叉均只产生一次restart","BLOCKED_NO_VCS"
"DC-FP-08","异常mask与extra传递","tc_dc_exception","CHK_DC_FP08_EXCEPTION","COV_DC_FP08_EXCEPTION","P0","PF/misalign/AF每个子类不丢失不重复","BLOCKED_NO_VCS"
"DC-FP-09","SQ与WMB forward元数据","tc_dc_forward","CHK_DC_FP09_FWD_OWNER","COV_DC_FP09_FWD","P1","SQ/WMB互异花纹不得串source","BLOCKED_NO_VCS"
"DC-FP-10","DC到DA payload分流","tc_dc_da_transfer","CHK_DC_FP10_DA_PAYLOAD","COV_DC_FP10_DA","P0","inst与borrow back-to-back时每次accept只转移一个owner","BLOCKED_NO_VCS"
"DC-FP-11","debug地址采集脉冲","tc_dc_debug_pulse","CHK_DC_FP11_DTU_PULSE","COV_DC_FP11_DTU","P1","debug/normal/debug只产生两个单拍有效脉冲","BLOCKED_NO_VCS"
"DC-FP-12","clock reset与scan覆盖","tc_dc_clock_reset","CHK_DC_FP12_CLOCK_RESET","COV_DC_FP12_CLOCK","P1","ICG on/off/scan/reset边界均无X或幽灵owner","BLOCKED_NO_VCS"
