"feature_id","feature","testcase","checker","coverage","priority","closure","result"
"LFB-FP-01","RB/PFU地址项分配","tc_lfb_allocate","CHK_LFB_FP01_ALLOCATE","COV_LFB_FP01_ALLOCATE","P0","empty、one-left、full及RB/PFU同拍竞争使用互异地址","BLOCKED_NO_VCS"
"LFB-FP-02","地址entry生命周期与复用","tc_lfb_addr_lifecycle","CHK_LFB_FP02_ADDR_LIFECYCLE","COV_LFB_FP02_ADDR","P0","scoreboard记录{addr entry,generation,source ID,data ID}","BLOCKED_NO_VCS"
"LFB-FP-03","line地址命中与merge","tc_lfb_address_hit","CHK_LFB_FP03_ADDRESS_HIT","COV_LFB_FP03_HIT","P0","same/different line、边界、多entry匹配负向场景均覆盖","BLOCKED_NO_VCS"
"LFB-FP-04","地址/数据项ID绑定","tc_lfb_data_binding","CHK_LFB_FP04_DATA_BINDING","COV_LFB_FP04_DATA","P0","data entry empty、one-left、full和交叉两地址响应均不串项","BLOCKED_NO_VCS"
"LFB-FP-05","BIU R beat/last/error协议","tc_lfb_biu_response","CHK_LFB_FP05_BIU_RESPONSE","COV_LFB_FP05_BIU","P0","正常序列、错误响应和随机背压以beat计数器逐拍检查","BLOCKED_NO_VCS"
"LFB-FP-06","VB replacement结果","tc_lfb_vb","CHK_LFB_FP06_VB","COV_LFB_FP06_VB","P0","hit clean、hit dirty、miss和多entry竞争全部覆盖","BLOCKED_NO_VCS"
"LFB-FP-07","D-cache refill与ECC","tc_lfb_refill","CHK_LFB_FP07_REFILL","COV_LFB_FP07_REFILL","P0","两data entry与四个refill block使用互异花纹并逐bit对比","BLOCKED_NO_VCS"
"LFB-FP-08","all-response与NC empty","tc_lfb_all_response","CHK_LFB_FP08_ALL_RESPONSE","COV_LFB_FP08_ALL","P1","混合CA/NC、乱序last、error和长期outstanding逐拍计数","BLOCKED_NO_VCS"
"LFB-FP-09","依赖队列wakeup","tc_lfb_dependency","CHK_LFB_FP09_DEPENDENCY","COV_LFB_FP09_WAKEUP","P0","多依赖merge、部分/full flush和bit立即复用均覆盖","BLOCKED_NO_VCS"
"LFB-FP-10","SNQ bypass owner","tc_lfb_snq_bypass","CHK_LFB_FP10_SNQ_BYPASS","COV_LFB_FP10_SNQ","P1","两data项互异花纹、same/different line和多hit负向场景均覆盖","BLOCKED_NO_VCS"
"LFB-FP-11","flush与outstanding回收","tc_lfb_flush","CHK_LFB_FP11_FLUSH","COV_LFB_FP11_FLUSH","P0","响应继续与停止两种模型均检查零迟到功能副作用","BLOCKED_NO_VCS"
"LFB-FP-12","容量计数与反压","tc_lfb_capacity","CHK_LFB_FP12_CAPACITY","COV_LFB_FP12_CAPACITY","P0","create/pop同拍、one-left和长期背压不得计数漂移","BLOCKED_NO_VCS"
"LFB-FP-13","entry/state clock reset","tc_lfb_clock_reset","CHK_LFB_FP13_CLOCK_RESET","COV_LFB_FP13_CLOCK","P1","地址entry、数据entry、linefill状态机和wakeup queue无X或幽灵owner","BLOCKED_NO_VCS"
